Codice Chiesa;Codice Pavimenti;Quadrante;Data;Quota;Cappela;Primario Stile;# Passi alla Cappella;Altare 1;# Passi alla Altare 1;Quota di Altare 1;Altare 2;# Passi alla Altare 2;Quota di Altare 2;Nota;Entrata?;Contenere Banco?;Contenere Reperti?;Numero di Reperti;MAPINFO_ID
SOFI;SOFI_C;C;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;551
SOFI;SOFI_D;D;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;552
SOFI;SOFI_E;E;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;553
SOFI;SOFI_F;F;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;554
SOFI;SOFI_G;G;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;555
SOFI;SOFI_H;H;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;556
SOFI;SOFI_I;I;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;557
STAE;STAE_A;A;28/06/2004;1,83;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;FALSO;VERO;;649
STAE;STAE_B;B;28/06/2004;1,83;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;FALSO;VERO;;650
STAE;STAE_C;C;28/06/2004;1,84;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;651
STAE;STAE_D;D;28/06/2004;1,85;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;652
STAE;STAE_E;E;28/06/2004;1,85;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;653
STAE;STAE_F;F;28/06/2004;1,85;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;654
STAE;STAE_G;G;28/06/2004;2,49;VERO;;4,00;VERO;5;3,31;FALSO;0;0,00;main alter, small carpet;FALSO;FALSO;VERO;;655
STAE;STAE_H;H;28/06/2004;2,35;VERO;;3,00;VERO;1;2,53;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;656
STAE;STAE_I;I;28/06/2004;2,29;VERO;;3,00;VERO;1;2,44;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;657
STAE;STAE_J;J;28/06/2004;2,35;VERO;;3,00;VERO;1;2,51;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;658
STAE;STAE_K;K;28/06/2004;2,31;VERO;;3,00;VERO;1;2,48;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;659
STAE;STAE_L;L;28/06/2004;2,33;VERO;;3,00;VERO;1;2,49;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;660
STAE;STAE_M;M;28/06/2004;2,30;VERO;;3,00;VERO;1;2,45;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;661
STEF;STEF_A;A;05/07/2004;1,14;FALSO;;0,00;VERO;4;1,74;FALSO;0;0,00;contains small alter;FALSO;FALSO;VERO;;1332
STEF;STEF_B;B;05/07/2004;0,88;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;FALSO;VERO;;1333
STEF;STEF_C;C;05/07/2004;0,95;FALSO;;0,00;VERO;4;1,57;FALSO;0;0,00;contains small alter, 50 percent covered by organ;FALSO;FALSO;FALSO;;1334
