Codice Chiesa;Età;Chitata da
SAMU;1685;Chiese di Venezia
SAMU;1685;Venice and its Lagoon
SANT;1346;G. Tassini
SCAL;1633;The Churches of Venice
SCAL;1633;Venice and its Lagoon
SCAL;1689;Venice and its Lagoon
SCAL;1933;Chiese di Venezia
SCHI;1450;Venice and its Lagoon
SCHI;1552;Venice and its Lagoon
SEBA;1393;G. Tassini
SEBA;1509;Chiese di Venezia
SEBA;1545;Venice and its Lagoon
SERV;1316;G. Tassini
SERV;1350;Venice and its Lagoon
SERV;1862;Venice and its Lagoon
SILV;884;G. Tassini
SILV;1850;Venice and its Lagoon
SIMG;967;Chiese di Venezia
SIMG;967;G. Tassini
SIMG;1750;Venice and its Lagoon
SIMG;1801;Chiese di Venezia
SIMG;1861;Chiese di Venezia
SIMP;850;Chiese di Venezia
SIMP;850;G. Tassini
SIMP;950;Venice and its Lagoon
SIMP;1718;Chiese di Venezia
SIMP;1738;Chiese di Venezia
SIMP;1738;Venice and its Lagoon
SLIO;1054;G. Tassini
SLIO;1783;Chiese di Venezia
SLIO;1783;Venice and its Lagoon
SMAR;1315;G. Tassini
SMAR;1450;Venice and its Lagoon
SMAR;1850;Venice and its Lagoon
SOFI;866;G. Tassini
SOFI;1750;Venice and its Lagoon
SOFI;1836;Venice and its Lagoon
SPIR;1483;G. Tassini
SPIR;1483;Venice and its Lagoon
SPIR;1806;Venice and its Lagoon
STAE;966;G. Tassini
STAE;996;Chiese di Venezia
STAE;1127;Chiese di Venezia
STAE;1678;Chiese di Venezia
STAE;1678;The Churches of Venice
STAE;1711;Venice and its Lagoon
STEF;1250;Venice and its Lagoon
STEF;1254;G. Tassini
STEF;1294;Chiese di Venezia
STEF;1350;The Churches of Venice
STEF;1350;Venice and its Lagoon
STEF;1443;Chiese di Venezia
TERE;1647;G. Tassini
TERE;1677;Chiese di Venezia
TERE;1677;Venice and its Lagoon
TERE;1750;Chiese di Venezia
TERE;1750;Venice and its Lagoon
TOLE;1524;G. Tassini
TOLE;1591;The Churches of Venice
TOLE;1591;Venice and its Lagoon
